rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date
109,spotify:track:1is8gU4RVcN4J8xItxWoOY,Clinton Kane,I GUESS I'M IN LOVE,Columbia,68,124,80,882317,2021-11-07
110,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,103,143,84,875971,2021-11-07
111,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,3,112,1698,874437,2021-11-07
112,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Vertigo Berlin,17,122,718,869497,2021-11-07
113,spotify:track:3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo,Acapulco,Atlantic Records,88,89,30,865236,2021-11-07
114,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,71,147,209,860894,2021-11-07
115,spotify:track:0DuWDLjriRPjDRoPgaCslY,Adele,Love In The Dark,XL Recordings,40,134,29,856317,2021-11-07
116,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,116,1116,849466,2021-11-07
117,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,22,106,73,844161,2021-11-07
118,spotify:track:2N8m6CYs74qQO4mjVcXO30,Tones And I,Dance Monkey,Elektra (NEK),1,103,844,842906,2021-11-07
119,spotify:track:6E90gq0KO6FYZVOXx8kCcC,Masked Wolf,Astronaut In The Ocean,Elektra (NEK),2,110,297,840093,2021-11-07
120,spotify:track:5reQI13tWWYDLMrGcUF4Mk,"Monsieur Periné, Vicente Garcia",Nuestra Canción,Monsieur Perine,76,120,15,839829,2021-11-07
121,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan","Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",Tratto Entretenimentos,75,130,26,833220,2021-11-07
122,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,92,138,317,833037,2021-11-07
123,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,115,1745,832352,2021-11-07
124,spotify:track:4fSHADbZbhpZCT9oJpxwbP,"Paulo Pires, Mc Danny, Marcynho Sensação",Ameaça,Paulo Pires,124,151,2,828347,2021-11-07
125,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,118,799,827769,2021-11-07
126,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic/Grand Hustle,10,132,1551,827060,2021-11-07
127,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,11,159,474,823423,2021-11-07
128,spotify:track:2vXKRlJBXyOcvZYTdNeckS,"Gesaffelstein, The Weeknd",Lost in the Fire (feat. The Weeknd),Columbia,12,152,48,815660,2021-11-07
129,spotify:track:5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,Columbia,91,168,389,801361,2021-11-07
130,spotify:track:1J14CdDAvBTE1AJYUOwl6C,Duncan Laurence,Arcade,"Universal Music, a division of Universal International Music BV",14,155,307,801361,2021-11-07
131,spotify:track:4OwhwvKESFtuu06dTgct7i,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,WEA Latina,47,113,132,799059,2021-11-07
132,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,George Michael,Careless Whisper,Sony Music Entertainment,128,135,12,796200,2021-11-07
133,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,1,136,381,795670,2021-11-07
134,spotify:track:1f3yAtsJtY87CTmM8RLnxf,Nirvana,Smells Like Teen Spirit,Geffen,92,128,293,787256,2021-11-07
135,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,Atlantic Records,8,105,377,781618,2021-11-07
136,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,2,141,1135,772143,2021-11-07
137,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,Universal Music AB,24,148,239,771823,2021-11-07
138,spotify:track:0cOa970mzTWAxKtltpkpLc,"TINI, Maria Becerra",Miénteme,Sony Music Latin,37,123,192,770997,2021-11-07
139,spotify:track:37Nqx7iavZpotJSDXZWbJ3,"Drake, Lil Baby",Girls Want Girls (with Lil Baby),OVO,1,129,66,768898,2021-11-07
140,spotify:track:4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),Republic Records,51,126,164,768146,2021-11-07
141,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,Columbia,3,140,213,766451,2021-11-07
142,spotify:track:64EA2RKyciBwCuVczLH6Ct,Siouxxie,masquerade,1515760 Records DK2,142,173,22,765618,2021-11-07
143,spotify:track:45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,RCA Records Label,12,178,482,765092,2021-11-07
144,spotify:track:704LUEih663hiE3CnyUrFW,KAROL G,SEJODIOTO,UMLE - Latino,72,121,45,764042,2021-11-07
145,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - Remastered 2011,Hollywood Records,10,137,1162,762908,2021-11-07
146,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,Bad Vibes Forever / EMPIRE,2,181,1430,760002,2021-11-07
147,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,Columbia,91,164,380,759732,2021-11-07
148,spotify:track:4rPkN1FMzQyFNP9cLUGIIB,Dua Lipa,Love Again,Warner Records,49,133,124,759477,2021-11-07
149,spotify:track:6FE2iI43OZnszFLuLtvvmg,MKTO,Classic,Columbia/M2V,124,150,36,759254,2021-11-07
150,spotify:track:161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,Atlantic Records,42,177,230,757731,2021-11-07
151,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,132,139,536,753509,2021-11-07
152,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Doja Cat,Ain't Shit,Kemosabe Records/RCA Records,21,153,136,752883,2021-11-07
153,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,AWGE/Interscope Records,124,163,21,752397,2021-11-07
154,spotify:track:3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,G.O.O.D. Music/Columbia,76,166,941,752010,2021-11-07
155,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,135,161,266,751987,2021-11-07
156,spotify:track:18asYwWugKjjsihZ0YvRxO,"Tiësto, Ava Max",The Motto,Atlantic Records,56,119,3,751946,2021-11-07
157,spotify:track:7iqOIHHEmu6Vhw25GgQ2eA,"J Balvin, Sech",Una Nota,"Sueños Globales, LLC",43,125,59,748173,2021-11-07
158,spotify:track:6w8yBI2vthyN9UnwO4UBWb,"Tiago PZK, LIT killah",Entre Nosotros,WM Chile,31,144,121,746533,2021-11-07
159,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,7,182,1746,745577,2021-11-07
160,spotify:track:1dIWPXMX4kRHj6Dt2DStUQ,"Blxst, Tyga, Ty Dolla $ign",Chosen (feat. Ty Dolla $ign),Red Bull Records Inc. / Evgle LLC,79,146,105,745466,2021-11-07
161,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Ministry of Sound Recordings,11,102,265,741592,2021-11-07
162,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,Epic/Not So Fast,8,183,270,740295,2021-11-07
163,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,11,194,169,739330,2021-11-07
164,spotify:track:2rCbl9naJYhaxjLsfx88uM,"Sebastian Yatra, Myke Towers",Pareja Del Año,UMLE - Latino,9,131,203,738924,2021-11-07
165,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,Atlantic Records,114,176,357,737711,2021-11-07
166,spotify:track:6OufwUcCqo81guU2jAlDVP,Shouse,Love Tonight - Edit,Hell Beach,34,108,127,734932,2021-11-07
167,spotify:track:798ahLNEcoFER7Vywg1FMT,Calibre 50,A La Antigüita,"Andaluz Music, LLC",101,162,39,730216,2021-11-07
168,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,"MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege",Ela me Falou Que Quer Rave,Ritmo dos Fluxos Records,168,189,2,726352,2021-11-07
169,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,1,157,869,725614,2021-11-07
170,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,121,158,173,723435,2021-11-07
171,spotify:track:0MMyJUC3WNnFS1lit5pTjk,Olivia Rodrigo,"jealousy, jealousy",Olivia Rodrigo PS,14,200,168,717687,2021-11-07
172,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,146,156,45,716566,2021-11-07
173,spotify:track:4cktbXiXOapiLBMprHFErI,Maroon 5,Memories,Interscope Records*,2,170,777,715862,2021-11-07
174,spotify:track:1qDrWA6lyx8cLECdZE7TV7,"Gotye, Kimbra",Somebody That I Used To Know,Samples & Seconds / Republic,122,184,126,713140,2021-11-07
175,spotify:track:6G2xXQRSZlEzYsUEb3uvuR,Ivan Cornejo,Está Dañada,"Manzana Records, Inc.",83,172,31,710621,2021-11-07
176,spotify:track:4kELKaXaNP4EQR8Q8xNIID,Trueno,FEEL ME??,NEUEN,154,154,6,710361,2021-11-07
177,spotify:track:1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,124,-1,24,709244,2021-11-07
178,spotify:track:18ddJHQ7CUzNBiy55L0Xjj,Realestk,WFM,1893821 Records DK,70,-1,27,703798,2021-11-07
179,spotify:track:7lQWRAjyhTpCWFC0jmclT4,"Coolio, L.V.",Gangsta's Paradise,Tommy Boy Music,127,160,70,702990,2021-11-07
180,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",122,199,44,701093,2021-11-07
181,spotify:track:39LLxExYz6ewLAcYrzQQyP,Dua Lipa,Levitating,Warner Records,35,179,226,700474,2021-11-07
182,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,129,165,366,698338,2021-11-07
183,spotify:track:6b2HYgqcK9mvktt4GxAu72,"Justin Quiles, Chimbala, Zion & Lennox",Loco,WEA Latina,55,149,154,698038,2021-11-07
184,spotify:track:0mJBiaODgK0XjOLCN5fItq,Sam Smith,Like I Can,Capitol,49,-1,78,694065,2021-11-07
185,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,EMI / Interscope,2,192,262,688215,2021-11-07
186,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,19,-1,47,687462,2021-11-07
